,Country Code,Year,GDP
0,ABW,1960,
1,AFG,1960,537777811.0
2,AGO,1960,2343334781.8
3,ALB,1960,4148891752.6
4,AND,1960,5954448723.4
5,ARB,1960,7760005694.2
6,ARE,1960,9565562665.0
7,ARG,1960,11371119635.8
8,ARM,1960,13176676606.6
9,ASM,1960,14982233577.4
10,ATG,1960,16787790548.199999
11,AUS,1960,18593347519.0
12,AUT,1960,6592693841.0
13,AZE,1960,3394346915.5
14,BDI,1960,195999990.0
15,BEL,1960,11658722591.0
16,BEN,1960,226195579.0
17,BFA,1960,330442817.0
18,BGD,1960,4274893913.0
19,BGR,1960,2906530582.666667
20,BHR,1960,1538167252.3333335
21,BHS,1960,169803922.0
22,BIH,1960,122559911.0
23,BLR,1960,75315900.0
24,BLZ,1960,28071889.0
25,BMU,1960,84466654.0
26,BOL,1960,563110052.0
27,BRA,1960,15165569913.0
28,BRB,1960,11381780512.0
29,BRN,1960,7597991111.0
30,BTN,1960,3814201710.0
31,BWA,1960,30412309.0
32,CAF,1960,112155599.0
33,CAN,1960,41093453545.0
34,CEB,1960,25308100132.0
35,CHE,1960,9522746719.0
36,CHI,1960,6816373359.5
37,CHL,1960,4110000000.0
38,CHN,1960,59716467625.0
39,CIV,1960,546203562.0
40,CMR,1960,618740988.0
41,COD,1960,3359404132.0
42,COG,1960,131731863.0
43,COL,1960,4040948154.0
44,COM,1960,2863136712.666667
45,CPV,1960,1685325271.3333335
46,CRI,1960,507513830.0
47,CSS,1960,2004785088.0
48,CUB,1960,2476358620.4444447
49,CUW,1960,2947932152.888889
50,CYM,1960,3419505685.333333
51,CYP,1960,3891079217.7777777
52,CZE,1960,4362652750.222222
53,DEU,1960,4834226282.666666
54,DJI,1960,5305799815.111111
55,DMA,1960,5777373347.555555
56,DNK,1960,6248946880.0
57,DOM,1960,672399700.0
58,DZA,1960,2723648552.0
59,EAP,1960,80518696001.0
60,EAR,1960,152378000000.0
61,EAS,1960,153612000000.0
62,ECA,1960,293210000000.0
63,ECS,1960,432808000000.0
64,ECU,1960,1010325138.0
65,EGY,1960,123196162569.0
66,EMU,1960,245382000000.0
67,ERI,1960,128727063037.5
68,ESP,1960,12072126075.0
69,EST,1960,127695084050.0
70,ETH,1960,243318042025.0
71,EUU,1960,358941000000.0
72,FCS,1960,182082551098.0
73,FIN,1960,5224102196.0
74,FJI,1960,112328422.0
75,FRA,1960,62651474947.0
76,FRO,1960,41814806290.66667
77,FSM,1960,20978137634.333336
78,GAB,1960,141468978.0
79,GBR,1960,72328047042.0
80,GEO,1960,36772638568.5
81,GHA,1960,1217230095.0
82,GIB,1960,1755446440.0
83,GIN,1960,2293662785.0
84,GMB,1960,2831879130.0
85,GNB,1960,3370095475.0
86,GNQ,1960,3908311820.0
87,GRC,1960,4446528165.0
88,GRD,1960,3312218743.333333
89,GRL,1960,2177909321.6666665
90,GTM,1960,1043599900.0
91,GUM,1960,606907574.0
92,GUY,1960,170215248.0
93,HIC,1960,1060260000000.0
94,HKG,1960,1320796652.0
95,HND,1960,335650000.0
96,HPC,1960,17473803358.0
97,HRV,1960,86844852518.5
98,HTI,1960,156215901679.0
99,HUN,1960,225586950839.5
100,IBD,1960,294958000000.0
101,IBT,1960,332420000000.0
