Year,Team,Total_Athletes
1960,Argentina,4
1960,Australia,33
1960,Austria,3
1960,Belgium,4
1960,Brazil,13
1960,Bulgaria,7
1960,Canada,9
1960,Czech Republic,21
1960,Denmark,22
1960,Ethiopia,1
1960,Finland,6
1960,France,12
1960,Germany,81
1960,Ghana,1
1960,Greece,3
1960,Hungary,59
1960,India,13
1960,Iran,4
1960,Iraq,1
1960,Italy,78
1960,Japan,21
1960,Mexico,1
1960,Morocco,1
1960,Netherlands,3
1960,New Zealand,3
1960,Norway,2
1960,Pakistan,14
1960,Poland,30
1960,Portugal,2
1960,Romania,15
1960,Russia,138
1960,Serbia,17
1960,Singapore,1
1960,South Africa,3
1960,Spain,14
1960,Sweden,6
1960,Switzerland,11
1960,Syria,2
1960,Taiwan,1
1960,Trinidad,4
1960,Turkey,9
1960,UK,24
1960,USA,104
1960,Venezuela,1
1964,Argentina,1
1964,Australia,38
1964,Bahamas,2
1964,Belgium,3
1964,Brazil,12
1964,Bulgaria,10
1964,Canada,5
1964,Cuba,1
1964,Czech Republic,51
1964,Denmark,12
1964,Ethiopia,1
1964,Finland,5
1964,France,28
1964,Germany,103
1964,Ghana,1
1964,Hungary,53
1964,India,15
1964,Iran,2
1964,Ireland,1
1964,Italy,46
1964,Japan,54
1964,Kenya,1
1964,Mexico,1
1964,Netherlands,29
1964,New Zealand,5
1964,Nigeria,1
1964,Pakistan,16
1964,Philippines,1
1964,Poland,41
1964,Romania,14
1964,Russia,151
1964,Serbia,14
1964,South Korea,3
1964,Sweden,15
1964,Switzerland,5
1964,Trinidad,4
1964,Tunisia,2
1964,Turkey,6
1964,UK,24
1964,USA,142
1964,Uruguay,1
1968,Argentina,2
1968,Australia,45
1968,Austria,5
1968,Belgium,3
1968,Brazil,4
1968,Bulgaria,26
1968,Cameroon,1
1968,Canada,8
1968,Cuba,10
1968,Czech Republic,24
1968,Denmark,16
1968,Ethiopia,1
1968,Finland,4
1968,France,22
1968,Germany,96
1968,Greece,1
1968,Hungary,75
1968,India,14
1968,Iran,5
1968,Italy,31
1968,Jamaica,1
1968,Japan,52
1968,Kenya,10
1968,Mexico,9
1968,Mongolia,4
1968,Netherlands,14
1968,New Zealand,7
1968,Norway,6
1968,Pakistan,13
1968,Poland,36
1968,Romania,23
1968,Russia,159
1968,Serbia,28
1968,South Korea,2
1968,Sweden,8
1968,Switzerland,13
1968,Taiwan,1
1968,Tunisia,1
1968,Turkey,2
1968,UK,18
1968,USA,116
1968,Uganda,2
1968,Venezuela,1
1972,Argentina,1
1972,Australia,14
1972,Austria,3
1972,Belgium,2
1972,Brazil,2
1972,Bulgaria,22
1972,Canada,10
1972,Colombia,3
1972,Cuba,21
1972,Czech Republic,28
1972,Denmark,1
1972,Ethiopia,2
1972,Finland,9
1972,France,21
1972,Germany,223
1972,Ghana,1
1972,Greece,2
1972,Hungary,74
1972,India,14
1972,Iran,3
1972,Italy,21
1972,Jamaica,1
1972,Japan,40
1972,Kenya,10
1972,Lebanon,1
1972,Mexico,1
1972,Mongolia,1
1972,Netherlands,5
1972,New Zealand,14
1972,Niger,1
1972,Nigeria,1
1972,North Korea,15
1972,Norway,8
1972,Pakistan,15
1972,Poland,45
1972,Romania,39
1972,Russia,185
1972,Serbia,18
1972,South Korea,1
1972,Spain,1
1972,Sweden,19
1972,Switzerland,8
1972,Tunisia,1
1972,Turkey,1
1972,UK,27
1972,USA,132
1972,Uganda,2
1976,Australia,23
1976,Austria,1
1976,Belgium,7
1976,Bermuda,1
1976,Brazil,3
1976,Bulgaria,39
1976,Canada,19
1976,Cuba,23
1976,Czech Republic,14
1976,Denmark,8
1976,Finland,5
1976,France,19
1976,Germany,234
1976,Hungary,51
1976,Iran,2
1976,Italy,30
1976,Jamaica,1
1976,Japan,32
1976,Mexico,2
1976,Mongolia,1
1976,Netherlands,13
1976,New Zealand,25
1976,North Korea,2
1976,Norway,6
1976,Pakistan,16
1976,Poland,72
1976,Portugal,2
1976,Puerto Rico,1
1976,Romania,48
1976,Russia,257
1976,Serbia,18
1976,South Korea,17
1976,Spain,6
1976,Sweden,10
1976,Switzerland,9
1976,Thailand,1
1976,Trinidad,1
1976,UK,31
1976,USA,135
1976,Venezuela,1
1980,Australia,10
1980,Austria,5
1980,Belgium,1
1980,Brazil,9
1980,Bulgaria,87
1980,Cuba,20
1980,Czech Republic,51
1980,Denmark,8
1980,Ethiopia,3
1980,Finland,8
1980,France,25
1980,Germany,224
1980,Greece,5
1980,Guyana,1
1980,Hungary,56
1980,India,16
1980,Ireland,3
1980,Italy,35
1980,Jamaica,3
1980,Lebanon,1
1980,Mexico,9
1980,Mongolia,4
1980,Netherlands,6
1980,North Korea,5
1980,Poland,49
1980,Romania,60
1980,Russia,385
1980,Serbia,57
1980,Spain,23
1980,Sweden,20
1980,Switzerland,2
1980,Tanzania,2
1980,UK,43
1980,Uganda,1
1980,Venezuela,1
1980,Zimbabwe,15
1984,Algeria,2
1984,Australia,46
1984,Austria,3
1984,Belgium,5
1984,Brazil,36
1984,Cameroon,1
1984,Canada,74
1984,China,64
1984,Colombia,1
1984,Denmark,12
1984,Dominican Republic,1
1984,Egypt,1
1984,Finland,12
1984,France,63
1984,Germany,146
1984,Greece,2
1984,Iceland,1
1984,Ireland,1
1984,Italy,58
1984,Ivory Coast,1
1984,Jamaica,6
1984,Japan,40
1984,Kenya,3
1984,Mexico,5
1984,Morocco,2
1984,Netherlands,36
1984,New Zealand,19
1984,Nigeria,5
1984,Norway,4
1984,Pakistan,16
1984,Peru,1
1984,Portugal,3
1984,Puerto Rico,2
1984,Romania,94
1984,Serbia,85
1984,South Korea,41
1984,Spain,19
1984,Sweden,27
1984,Switzerland,12
1984,Syria,1
1984,Taiwan,1
1984,Thailand,1
1984,Turkey,3
1984,UK,66
1984,USA,290
1984,Venezuela,3
1984,Zambia,1
1988,Argentina,13
1988,Australia,33
1988,Austria,1
1988,Belgium,2
1988,Brazil,23
1988,Bulgaria,37
1988,Canada,22
1988,Chile,1
1988,China,44
1988,Colombia,1
1988,Costa Rica,1
1988,Curacao,1
1988,Czech Republic,9
1988,Denmark,7
1988,Djibouti,1
1988,Finland,4
1988,France,27
1988,Germany,247
1988,Greece,1
1988,Hungary,38
1988,Indonesia,3
1988,Iran,1
1988,Italy,27
1988,Jamaica,7
1988,Japan,18
1988,Kenya,9
1988,Mexico,2
1988,Mongolia,1
1988,Morocco,3
1988,Netherlands,45
1988,New Zealand,20
1988,Norway,22
1988,Pakistan,1
1988,Peru,12
1988,Philippines,1
1988,Poland,19
1988,Portugal,1
1988,Romania,38
1988,Russia,264
1988,Senegal,1
1988,Serbia,62
1988,South Korea,72
1988,Spain,5
1988,Suriname,1
1988,Sweden,15
1988,Switzerland,7
1988,Thailand,1
1988,Turkey,2
1988,UK,49
1988,USA,173
1988,"Virgin Islands, US",1
1992,Algeria,2
1992,Argentina,2
1992,Australia,53
1992,Austria,6
1992,Bahamas,1
1992,Belgium,3
1992,Brazil,14
1992,Bulgaria,16
1992,Canada,37
1992,China,68
1992,Colombia,1
1992,Croatia,14
1992,Cuba,68
1992,Czech Republic,8
1992,Denmark,14
1992,Estonia,3
1992,Ethiopia,3
1992,Finland,7
1992,France,56
1992,Germany,175
1992,Ghana,20
1992,Greece,2
1992,Hungary,35
1992,Individual Olympic Athletes,3
1992,Indonesia,6
1992,Iran,3
1992,Ireland,2
1992,Israel,2
1992,Italy,44
1992,Jamaica,3
1992,Japan,44
1992,Kenya,8
1992,Latvia,3
1992,Lithuania,13
1992,Malaysia,2
1992,Mexico,1
1992,Mongolia,2
1992,Morocco,3
1992,Namibia,1
1992,Netherlands,32
1992,New Zealand,14
1992,Nigeria,11
1992,North Korea,9
1992,Norway,22
1992,Pakistan,16
1992,Peru,1
1992,Philippines,1
1992,Poland,45
1992,Puerto Rico,1
1992,Qatar,1
1992,Romania,42
1992,Russia,186
1992,Slovenia,6
1992,South Africa,3
1992,South Korea,45
1992,Spain,68
1992,Suriname,1
1992,Sweden,32
1992,Switzerland,1
1992,Taiwan,20
1992,Thailand,1
1992,Turkey,6
1992,UK,47
1992,USA,185
1996,Algeria,3
1996,Argentina,20
1996,Armenia,2
1996,Australia,123
1996,Austria,2
1996,Azerbaijan,1
1996,Bahamas,5
1996,Belarus,20
1996,Belgium,6
1996,Brazil,62
1996,Bulgaria,21
1996,Burundi,1
1996,Canada,45
1996,China,95
1996,Costa Rica,1
1996,Croatia,28
